GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BitTE,com.BitTE.OptimizationProject,ItemInputHandler,306,0,69,0,100,0,55,0,8,0
BitTE,com.BitTE.OptimizationProject,SpaceOptimizer,255,0,8,0,41,0,8,0,4,0
BitTE,com.BitTE.OptimizationProject,MenuHandler,139,131,12,4,22,8,14,3,7,2
BitTE,com.BitTE.OptimizationProject,EssentialItems,169,0,26,0,58,0,19,0,6,0
BitTE,com.BitTE.OptimizationProject,ItemDeletionHandler,36,106,5,13,15,30,6,7,1,3
BitTE,com.BitTE.OptimizationProject,Clothing,116,173,1,3,8,23,1,8,0,7
BitTE,com.BitTE.OptimizationProject,CreateSuitcase,12,66,1,3,5,21,1,7,0,6
BitTE,com.BitTE.OptimizationProject,DatabaseTableCreation,40,83,4,4,12,22,6,4,2,4
BitTE,com.BitTE.OptimizationProject,NonEssentialItems,135,0,18,0,48,0,13,0,4,0
BitTE,com.BitTE.OptimizationProject,Extras,98,123,1,3,8,22,1,8,0,7
BitTE,com.BitTE.OptimizationProject,AppStart,70,0,4,0,21,0,4,0,2,0
BitTE,com.BitTE.OptimizationProject,EssentialConstraints,245,0,25,0,68,0,23,0,9,0
BitTE,com.BitTE.OptimizationProject,PackingItem,43,63,0,2,4,16,1,8,1,7
BitTE,com.BitTE.OptimizationProject,ResultPresenter,89,0,20,0,19,0,12,0,2,0
BitTE,com.BitTE.OptimizationProject,DatabaseConnection,40,40,3,1,7,9,3,2,1,2
